TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,50.0,44.1,80,30.19,10.0,East,3.5,-,N/A,,Mostly Cloudy,90,2015-11-24 06:51:00
1:51 AM,50.0,44.1,80,30.17,10.0,East,3.5,-,N/A,,Mostly Cloudy,90,2015-11-24 07:51:00
2:51 AM,51.1,45.0,80,30.15,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-11-24 08:51:00
3:51 AM,52.0,46.0,80,30.14,10.0,SE,4.6,-,N/A,,Overcast,130,2015-11-24 09:51:00
4:51 AM,52.0,46.0,80,30.13,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-11-24 10:51:00
5:51 AM,52.0,46.9,83,30.13,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-11-24 11:51:00
6:51 AM,53.1,46.9,80,30.14,10.0,East,5.8,-,N/A,,Overcast,100,2015-11-24 12:51:00
7:51 AM,54.0,48.0,80,30.14,10.0,East,3.5,-,N/A,,Overcast,100,2015-11-24 13:51:00
8:51 AM,55.9,48.0,75,30.15,10.0,East,3.5,-,N/A,,Overcast,100,2015-11-24 14:51:00
9:51 AM,57.0,48.9,74,30.16,10.0,ESE,4.6,-,N/A,,Overcast,110,2015-11-24 15:51:00
10:51 AM,59.0,51.1,75,30.15,10.0,SE,3.5,-,N/A,,Overcast,130,2015-11-24 16:51:00
11:51 AM,62.1,52.0,70,30.13,10.0,Variable,3.5,-,N/A,,Overcast,0,2015-11-24 17:51:00
12:51 PM,64.0,53.1,67,30.09,10.0,SSE,6.9,-,N/A,,Overcast,150,2015-11-24 18:51:00
1:07 PM,64.0,53.1,67,30.12,10.0,SSE,5.8,-,N/A,,Overcast,150,2015-11-24 19:07:00
1:51 PM,64.9,54.0,68,30.06,10.0,South,3.5,-,N/A,,Overcast,180,2015-11-24 19:51:00
2:51 PM,66.0,54.0,65,30.04,10.0,SE,6.9,-,N/A,,Overcast,140,2015-11-24 20:51:00
3:25 PM,64.9,54.0,68,30.07,10.0,ESE,6.9,-,N/A,,Overcast,120,2015-11-24 21:25:00
3:51 PM,64.9,54.0,68,30.04,10.0,SE,8.1,-,N/A,,Overcast,130,2015-11-24 21:51:00
4:51 PM,66.0,55.0,68,30.03,10.0,SE,8.1,-,N/A,,Overcast,130,2015-11-24 22:51:00
5:51 PM,64.0,55.9,75,30.04,10.0,East,3.5,-,N/A,,Overcast,90,2015-11-24 23:51:00
6:27 PM,64.9,55.9,73,30.07,10.0,ENE,3.5,-,N/A,,Overcast,70,2015-11-25 00:27:00
6:47 PM,64.4,55.4,73,30.07,10.0,East,3.5,-,N/A,,Overcast,80,2015-11-25 00:47:00
6:51 PM,64.9,55.9,73,30.04,10.0,East,3.5,-,N/A,,Overcast,80,2015-11-25 00:51:00
7:46 PM,64.4,55.4,73,30.08,10.0,Calm,Calm,-,N/A,,Overcast,0,2015-11-25 01:46:00
7:51 PM,64.9,55.9,73,30.04,10.0,Calm,Calm,-,N/A,,Overcast,0,2015-11-25 01:51:00
8:51 PM,64.9,57.0,75,30.05,10.0,East,4.6,-,0.00,Rain,Light Rain,100,2015-11-25 02:51:00
9:51 PM,64.0,57.9,80,30.04,10.0,SE,3.5,-,0.00,,Overcast,130,2015-11-25 03:51:00
10:51 PM,64.9,57.9,78,30.04,10.0,East,3.5,-,N/A,,Overcast,90,2015-11-25 04:51:00
11:51 PM,64.0,59.0,84,30.03,10.0,SSE,4.6,-,N/A,,Overcast,160,2015-11-25 05:51:00
