TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:36 AM,70.0,64.9,84,30.01,10.0,SE,11.5,-,N/A,,Mostly Cloudy,130,2015-05-04 05:36:00
12:51 AM,70.0,64.9,84,29.97,10.0,SE,11.5,-,N/A,,Mostly Cloudy,140,2015-05-04 05:51:00
1:51 AM,70.0,64.9,84,29.97,10.0,SE,11.5,-,N/A,,Overcast,130,2015-05-04 06:51:00
2:51 AM,69.1,64.9,87,29.95,10.0,SE,11.5,-,N/A,,Overcast,130,2015-05-04 07:51:00
3:51 AM,69.1,64.9,87,29.94,10.0,ESE,12.7,-,N/A,,Overcast,120,2015-05-04 08:51:00
4:51 AM,69.1,64.0,84,29.94,10.0,ESE,10.4,-,N/A,,Overcast,110,2015-05-04 09:51:00
5:51 AM,69.1,64.9,87,29.94,10.0,ESE,9.2,-,N/A,,Overcast,120,2015-05-04 10:51:00
6:18 AM,68.0,64.9,90,29.99,10.0,ESE,9.2,-,N/A,,Overcast,120,2015-05-04 11:18:00
6:51 AM,69.1,64.9,87,29.95,10.0,ESE,10.4,-,N/A,,Overcast,120,2015-05-04 11:51:00
7:51 AM,69.1,64.9,87,29.97,10.0,ESE,11.5,-,N/A,,Overcast,120,2015-05-04 12:51:00
8:51 AM,71.1,-9999,N/A,30.00,10.0,ESE,9.2,-,N/A,,Overcast,120,2015-05-04 13:51:00
9:14 AM,71.6,66.2,83,30.05,10.0,ESE,10.4,-,N/A,,Overcast,110,2015-05-04 14:14:00
9:23 AM,71.6,66.2,83,30.06,10.0,SE,10.4,-,N/A,,Overcast,130,2015-05-04 14:23:00
9:51 AM,73.0,66.0,79,30.02,10.0,ESE,11.5,-,N/A,,Overcast,110,2015-05-04 14:51:00
10:30 AM,73.9,64.9,73,30.07,10.0,SSE,15.0,21.9,N/A,,Overcast,150,2015-05-04 15:30:00
10:51 AM,73.9,64.9,73,30.03,10.0,SE,17.3,23.0,0.00,Rain,Light Rain,130,2015-05-04 15:51:00
11:09 AM,75.9,64.9,69,30.07,10.0,SE,17.3,-,0.00,,Mostly Cloudy,130,2015-05-04 16:09:00
11:51 AM,80.1,66.0,62,30.02,10.0,SE,13.8,-,0.00,,Mostly Cloudy,130,2015-05-04 16:51:00
12:19 PM,77.0,64.0,64,30.07,10.0,SSE,16.1,24.2,N/A,,Overcast,150,2015-05-04 17:19:00
12:51 PM,77.0,64.0,64,30.02,10.0,SE,13.8,-,N/A,,Overcast,140,2015-05-04 17:51:00
1:36 PM,79.0,63.0,58,30.05,10.0,ESE,15.0,-,N/A,,Overcast,120,2015-05-04 18:36:00
1:51 PM,79.0,64.0,60,30.00,10.0,SE,16.1,23.0,N/A,,Mostly Cloudy,130,2015-05-04 18:51:00
2:51 PM,81.0,64.9,58,29.98,10.0,SE,15.0,-,0.00,,Overcast,140,2015-05-04 19:51:00
3:51 PM,79.0,64.0,60,29.96,10.0,ESE,16.1,26.5,N/A,,Overcast,120,2015-05-04 20:51:00
4:51 PM,81.0,63.0,54,29.94,10.0,SE,20.7,26.5,N/A,,Mostly Cloudy,140,2015-05-04 21:51:00
5:51 PM,81.0,62.1,52,29.93,10.0,SE,20.7,26.5,N/A,,Mostly Cloudy,140,2015-05-04 22:51:00
6:51 PM,79.0,60.1,52,29.93,10.0,SE,19.6,-,N/A,,Mostly Cloudy,140,2015-05-04 23:51:00
7:51 PM,77.0,60.1,56,29.92,10.0,SE,19.6,-,N/A,,Mostly Cloudy,130,2015-05-05 00:51:00
8:51 PM,73.9,61.0,64,29.95,10.0,SE,17.3,24.2,N/A,,Mostly Cloudy,130,2015-05-05 01:51:00
9:51 PM,73.0,63.0,71,29.96,10.0,SE,16.1,-,N/A,,Scattered Clouds,130,2015-05-05 02:51:00
10:47 PM,71.6,64.4,78,30.03,10.0,SE,13.8,-,N/A,,Mostly Cloudy,130,2015-05-05 03:47:00
10:51 PM,72.0,64.0,76,29.99,10.0,SE,17.3,-,N/A,,Mostly Cloudy,130,2015-05-05 03:51:00
11:28 PM,71.1,64.0,78,30.03,10.0,SE,18.4,-,N/A,,Overcast,130,2015-05-05 04:28:00
11:51 PM,71.1,64.0,78,29.99,10.0,SE,16.1,24.2,N/A,,Mostly Cloudy,130,2015-05-05 04:51:00
