TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:53 AM,80.1,69.1,69,30.10,10.0,SSW,3.5,-,N/A,,Overcast,210,2014-09-16 05:53:00
1:53 AM,78.1,69.1,74,30.09,10.0,South,4.6,-,N/A,,Overcast,180,2014-09-16 06:53:00
2:53 AM,78.1,69.1,74,30.09,10.0,Calm,Calm,-,N/A,,Overcast,0,2014-09-16 07:53:00
3:53 AM,77.0,70.0,79,30.08,10.0,NNE,3.5,-,N/A,,Mostly Cloudy,30,2014-09-16 08:53:00
4:53 AM,75.9,70.0,82,30.07,10.0,Calm,Calm,-,N/A,,Overcast,0,2014-09-16 09:53:00
5:53 AM,77.0,69.1,76,30.08,10.0,East,3.5,-,N/A,,Overcast,100,2014-09-16 10:53:00
6:53 AM,75.9,70.0,82,30.09,10.0,NE,5.8,-,N/A,,Mostly Cloudy,50,2014-09-16 11:53:00
7:53 AM,75.9,71.1,85,30.10,7.0,ENE,5.8,-,N/A,,Mostly Cloudy,70,2014-09-16 12:53:00
8:53 AM,78.1,71.1,79,30.10,7.0,ENE,4.6,-,N/A,,Mostly Cloudy,70,2014-09-16 13:53:00
9:53 AM,80.1,71.1,74,30.11,8.0,East,4.6,-,N/A,,Mostly Cloudy,90,2014-09-16 14:53:00
10:53 AM,82.9,71.1,67,30.11,8.0,Variable,4.6,-,N/A,,Mostly Cloudy,0,2014-09-16 15:53:00
11:53 AM,84.9,70.0,61,30.09,9.0,South,3.5,-,N/A,,Mostly Cloudy,170,2014-09-16 16:53:00
12:53 PM,86.0,69.1,57,30.06,10.0,ESE,3.5,-,N/A,,Mostly Cloudy,110,2014-09-16 17:53:00
1:53 PM,88.0,68.0,51,30.04,10.0,East,4.6,-,N/A,,Mostly Cloudy,90,2014-09-16 18:53:00
2:53 PM,89.1,66.0,46,30.01,10.0,SE,5.8,-,N/A,,Overcast,130,2014-09-16 19:53:00
3:53 PM,91.0,66.0,44,29.99,10.0,Variable,3.5,-,N/A,,Overcast,0,2014-09-16 20:53:00
4:53 PM,90.0,64.9,43,29.96,10.0,ENE,4.6,-,N/A,,Overcast,60,2014-09-16 21:53:00
5:53 PM,91.0,64.9,42,29.95,10.0,East,6.9,-,N/A,,Mostly Cloudy,80,2014-09-16 22:53:00
6:53 PM,89.1,64.9,45,29.95,10.0,East,4.6,-,N/A,,Mostly Cloudy,80,2014-09-16 23:53:00
7:53 PM,87.1,64.9,48,29.96,10.0,East,4.6,-,N/A,,Mostly Cloudy,100,2014-09-17 00:53:00
8:53 PM,86.0,66.2,51,29.99,10.0,SE,9.2,-,N/A,,Mostly Cloudy,130,2014-09-17 01:53:00
9:53 PM,84.0,68.0,58,29.99,10.0,SE,10.4,-,N/A,,Mostly Cloudy,130,2014-09-17 02:53:00
11:53 PM,82.0,69.1,65,29.99,10.0,SE,10.4,-,N/A,,Mostly Cloudy,140,2014-09-17 04:53:00
