TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:53 AM,75.0,68.0,79,30.03,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-06-02 05:53:00
1:53 AM,73.9,68.0,82,30.02,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-06-02 06:53:00
2:53 AM,71.1,68.0,90,30.02,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-06-02 07:53:00
3:53 AM,72.0,68.0,87,30.02,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-06-02 08:53:00
4:53 AM,72.0,66.9,84,30.02,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-06-02 09:53:00
5:53 AM,71.1,66.9,87,30.02,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-06-02 10:53:00
6:53 AM,71.1,66.9,87,30.03,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-06-02 11:53:00
7:53 AM,75.9,69.1,79,30.04,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-06-02 12:53:00
8:53 AM,80.1,66.0,62,30.05,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-06-02 13:53:00
9:53 AM,82.4,66.2,58,30.03,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-06-02 14:53:00
10:53 AM,84.0,64.9,53,30.04,10.0,West,6.9,-,N/A,,Scattered Clouds,280,2015-06-02 15:53:00
11:53 AM,84.9,66.0,53,30.03,10.0,NNE,3.5,-,N/A,,Scattered Clouds,20,2015-06-02 16:53:00
12:53 PM,87.8,64.4,46,30.00,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-06-02 17:53:00
1:53 PM,87.1,64.0,46,30.00,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-06-02 18:53:00
2:53 PM,87.1,62.1,43,29.98,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-06-02 19:53:00
3:53 PM,89.1,62.1,40,29.95,10.0,Variable,3.5,-,N/A,,Scattered Clouds,0,2015-06-02 20:53:00
4:53 PM,88.0,61.0,40,29.93,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-06-02 21:53:00
5:53 PM,88.0,64.0,45,29.92,10.0,SE,5.8,-,N/A,,Scattered Clouds,130,2015-06-02 22:53:00
6:53 PM,84.9,66.0,53,29.92,10.0,SE,10.4,-,N/A,,Overcast,130,2015-06-02 23:53:00
7:53 PM,82.0,68.0,62,29.93,10.0,SSE,10.4,-,N/A,,Scattered Clouds,160,2015-06-03 00:53:00
8:53 PM,80.1,68.0,67,29.94,10.0,South,5.8,-,N/A,,Scattered Clouds,170,2015-06-03 01:53:00
9:53 PM,77.0,68.0,74,29.95,10.0,South,6.9,-,N/A,,Scattered Clouds,180,2015-06-03 02:53:00
10:53 PM,78.1,68.0,71,29.96,10.0,SSW,4.6,-,N/A,,Unknown,200,2015-06-03 03:53:00
11:53 PM,77.0,68.0,74,29.96,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-06-03 04:53:00
