TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:14 AM,41.0,35.6,81,30.26,10.0,North,11.5,-,N/A,,Overcast,360,2015-01-15 06:14:00
12:53 AM,41.0,37.0,86,30.29,10.0,NNW,11.5,-,N/A,,Overcast,340,2015-01-15 06:53:00
1:23 AM,39.2,37.4,93,30.26,2.5,North,9.2,-,0.00,Rain,Light Rain,350,2015-01-15 07:23:00
1:53 AM,39.9,37.9,93,30.27,4.0,North,9.2,-,0.01,Rain,Light Rain,350,2015-01-15 07:53:00
2:01 AM,39.2,37.4,93,30.26,10.0,North,9.2,-,0.00,Rain,Light Rain,350,2015-01-15 08:01:00
2:15 AM,39.2,37.4,93,30.25,6.0,North,6.9,-,0.00,,Overcast,350,2015-01-15 08:15:00
2:33 AM,39.2,37.4,93,30.25,6.0,North,10.4,-,0.00,,Overcast,350,2015-01-15 08:33:00
2:53 AM,39.9,37.9,93,30.27,6.0,North,10.4,-,0.00,,Overcast,350,2015-01-15 08:53:00
3:53 AM,39.9,37.9,93,30.27,3.0,NNW,10.4,-,0.01,Rain,Light Rain,340,2015-01-15 09:53:00
4:53 AM,39.9,37.0,89,30.24,8.0,North,11.5,-,0.00,,Overcast,10,2015-01-15 10:53:00
5:53 AM,39.9,37.0,89,30.26,8.0,North,10.4,-,N/A,,Overcast,360,2015-01-15 11:53:00
6:53 AM,41.0,37.0,86,30.27,10.0,North,8.1,-,0.00,Rain,Light Rain,10,2015-01-15 12:53:00
7:53 AM,41.0,37.0,86,30.29,10.0,North,9.2,-,0.02,,Overcast,360,2015-01-15 13:53:00
8:53 AM,42.1,36.0,79,30.32,10.0,North,8.1,-,0.00,,Overcast,350,2015-01-15 14:53:00
9:53 AM,43.0,36.0,76,30.34,10.0,North,9.2,-,0.00,Rain,Light Rain,360,2015-01-15 15:53:00
10:53 AM,48.9,37.0,64,30.35,10.0,North,15.0,20.7,0.00,,Mostly Cloudy,360,2015-01-15 16:53:00
11:53 AM,46.9,36.0,66,30.33,10.0,NNW,12.7,-,N/A,,Overcast,340,2015-01-15 17:53:00
12:53 PM,50.0,36.0,59,30.30,10.0,North,4.6,-,N/A,,Mostly Cloudy,350,2015-01-15 18:53:00
1:53 PM,52.0,37.0,57,30.27,10.0,WNW,8.1,-,N/A,,Mostly Cloudy,300,2015-01-15 19:53:00
2:53 PM,53.1,37.0,55,30.27,10.0,North,10.4,-,N/A,,Mostly Cloudy,360,2015-01-15 20:53:00
3:53 PM,53.1,37.0,55,30.28,10.0,North,10.4,-,N/A,,Mostly Cloudy,350,2015-01-15 21:53:00
4:53 PM,52.0,37.0,57,30.28,10.0,WNW,5.8,-,N/A,,Mostly Cloudy,290,2015-01-15 22:53:00
5:53 PM,52.0,36.0,54,30.30,10.0,NNW,8.1,-,N/A,,Mostly Cloudy,340,2015-01-15 23:53:00
6:53 PM,51.1,36.0,56,30.31,10.0,NW,3.5,-,N/A,,Mostly Cloudy,310,2015-01-16 00:53:00
7:53 PM,48.9,37.0,64,30.32,10.0,NW,4.6,-,N/A,,Mostly Cloudy,310,2015-01-16 01:53:00
8:53 PM,48.9,36.0,61,30.33,10.0,NNW,5.8,-,N/A,,Mostly Cloudy,330,2015-01-16 02:53:00
9:53 PM,46.9,37.9,71,30.34,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-16 03:53:00
10:53 PM,46.0,37.0,71,30.35,10.0,WNW,3.5,-,N/A,,Mostly Cloudy,290,2015-01-16 04:53:00
11:53 PM,42.1,36.0,79,30.35,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-16 05:53:00
