TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:53 AM,64.9,62.1,90,30.05,10.0,SSE,5.8,-,N/A,,Scattered Clouds,160,2014-04-12 05:53:00
1:06 AM,66.2,62.6,88,30.03,10.0,SSE,8.1,-,N/A,,Mostly Cloudy,160,2014-04-12 06:06:00
1:53 AM,66.0,63.0,90,30.04,10.0,SSE,4.6,-,N/A,,Overcast,160,2014-04-12 06:53:00
2:20 AM,66.2,62.6,88,30.01,10.0,SSE,4.6,-,N/A,,Scattered Clouds,160,2014-04-12 07:20:00
2:53 AM,66.0,63.0,90,30.02,10.0,SSE,4.6,-,N/A,,Overcast,150,2014-04-12 07:53:00
3:53 AM,66.0,64.0,93,30.02,8.0,SSE,4.6,-,N/A,,Overcast,150,2014-04-12 08:53:00
4:16 AM,66.2,62.6,88,30.00,8.0,SE,5.8,-,N/A,,Overcast,140,2014-04-12 09:16:00
4:53 AM,66.0,64.0,93,30.01,8.0,SSE,4.6,-,N/A,,Mostly Cloudy,160,2014-04-12 09:53:00
5:53 AM,66.9,64.0,90,30.01,8.0,SSE,4.6,-,N/A,,Overcast,150,2014-04-12 10:53:00
6:32 AM,66.2,64.4,94,30.00,8.0,SSE,6.9,-,N/A,,Overcast,150,2014-04-12 11:32:00
6:53 AM,66.9,64.9,93,30.01,8.0,SSE,6.9,-,N/A,,Mostly Cloudy,160,2014-04-12 11:53:00
7:02 AM,66.2,64.4,94,30.00,8.0,SSE,6.9,-,N/A,,Mostly Cloudy,150,2014-04-12 12:02:00
7:53 AM,68.0,66.0,93,30.02,8.0,SSE,8.1,-,N/A,,Overcast,160,2014-04-12 12:53:00
8:53 AM,70.0,66.0,87,30.04,9.0,South,8.1,-,N/A,,Overcast,170,2014-04-12 13:53:00
9:15 AM,71.6,66.2,83,30.04,10.0,South,9.2,-,N/A,,Mostly Cloudy,170,2014-04-12 14:15:00
9:41 AM,71.6,66.2,83,30.05,9.0,South,11.5,-,N/A,,Mostly Cloudy,170,2014-04-12 14:41:00
9:53 AM,73.0,66.0,79,30.06,9.0,SSE,10.4,-,N/A,,Mostly Cloudy,150,2014-04-12 14:53:00
10:20 AM,73.4,64.4,73,30.05,10.0,South,12.7,17.3,N/A,,Mostly Cloudy,170,2014-04-12 15:20:00
10:53 AM,75.0,66.0,73,30.07,10.0,South,12.7,20.7,N/A,,Mostly Cloudy,170,2014-04-12 15:53:00
11:53 AM,78.1,64.0,62,30.06,10.0,South,16.1,24.2,N/A,,Mostly Cloudy,170,2014-04-12 16:53:00
12:53 PM,79.0,64.9,62,30.04,10.0,SSE,17.3,23.0,N/A,,Mostly Cloudy,160,2014-04-12 17:53:00
1:53 PM,80.1,64.9,60,30.01,10.0,SSE,17.3,23.0,N/A,,Mostly Cloudy,160,2014-04-12 18:53:00
2:53 PM,78.1,64.0,62,29.99,10.0,SSE,16.1,23.0,N/A,,Mostly Cloudy,160,2014-04-12 19:53:00
3:53 PM,78.1,63.0,60,29.97,10.0,SSE,15.0,25.3,N/A,,Mostly Cloudy,150,2014-04-12 20:53:00
4:53 PM,75.9,62.1,62,29.96,10.0,South,12.7,20.7,N/A,,Mostly Cloudy,170,2014-04-12 21:53:00
5:53 PM,73.9,63.0,68,29.95,10.0,SSE,12.7,21.9,N/A,,Mostly Cloudy,150,2014-04-12 22:53:00
6:53 PM,72.0,62.1,71,29.95,10.0,South,13.8,-,N/A,,Mostly Cloudy,170,2014-04-12 23:53:00
7:53 PM,70.0,61.0,73,29.95,10.0,SSE,9.2,-,N/A,,Mostly Cloudy,150,2014-04-13 00:53:00
8:53 PM,68.0,62.1,81,29.96,10.0,SSE,9.2,-,N/A,,Mostly Cloudy,160,2014-04-13 01:53:00
9:36 PM,68.0,62.6,83,29.94,10.0,SSE,6.9,-,N/A,,Mostly Cloudy,150,2014-04-13 02:36:00
9:53 PM,68.0,64.0,87,29.96,10.0,SSE,6.9,-,N/A,,Mostly Cloudy,150,2014-04-13 02:53:00
10:53 PM,69.1,64.0,84,29.96,10.0,SSE,9.2,-,N/A,,Mostly Cloudy,160,2014-04-13 03:53:00
11:53 PM,69.1,64.9,87,29.94,10.0,SSE,11.5,17.3,N/A,,Mostly Cloudy,160,2014-04-13 04:53:00
