TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,73.9,66.9,79,30.04,10.0,SSE,13.8,-,N/A,,Overcast,150,2014-05-23 05:51:00
1:51 AM,73.9,68.0,82,30.03,10.0,SSE,15.0,-,N/A,,Overcast,150,2014-05-23 06:51:00
2:51 AM,73.0,68.0,84,30.02,10.0,SE,11.5,-,N/A,,Overcast,140,2014-05-23 07:51:00
3:51 AM,73.4,68.0,83,30.05,10.0,SSE,11.5,-,N/A,,Mostly Cloudy,160,2014-05-23 08:51:00
4:26 AM,73.0,68.0,84,30.05,10.0,SSE,11.5,-,N/A,,Overcast,150,2014-05-23 09:26:00
4:51 AM,73.0,68.0,84,29.99,9.0,SSE,11.5,-,N/A,,Overcast,150,2014-05-23 09:51:00
5:51 AM,73.0,68.0,84,29.99,10.0,SE,13.8,-,N/A,,Overcast,140,2014-05-23 10:51:00
6:51 AM,73.4,68.0,83,30.06,9.0,SSE,13.8,-,N/A,,Overcast,150,2014-05-23 11:51:00
7:21 AM,73.0,68.0,84,30.06,10.0,SSE,16.1,24.2,N/A,,Mostly Cloudy,150,2014-05-23 12:21:00
7:51 AM,73.0,68.0,84,30.01,10.0,SE,16.1,-,N/A,,Overcast,140,2014-05-23 12:51:00
8:14 AM,73.0,68.0,84,30.05,9.0,SE,15.0,-,N/A,,Overcast,140,2014-05-23 13:14:00
8:51 AM,73.0,68.0,84,30.00,10.0,SE,16.1,-,N/A,,Overcast,140,2014-05-23 13:51:00
9:25 AM,73.9,68.0,82,30.04,10.0,SE,15.0,-,0.00,,Mostly Cloudy,130,2014-05-23 14:25:00
9:35 AM,73.9,68.0,82,30.06,10.0,SSE,11.5,-,0.00,,Mostly Cloudy,150,2014-05-23 14:35:00
9:51 AM,73.9,69.1,85,30.00,10.0,SE,11.5,-,0.00,Rain,Light Rain,140,2014-05-23 14:51:00
10:40 AM,75.0,68.0,79,30.07,10.0,SSE,8.1,-,0.00,,Overcast,160,2014-05-23 15:40:00
10:51 AM,75.0,68.0,79,30.02,10.0,SSE,11.5,-,0.00,,Overcast,160,2014-05-23 15:51:00
11:51 AM,75.9,69.1,79,30.02,8.0,SSE,9.2,-,0.01,,Overcast,150,2014-05-23 16:51:00
12:51 PM,79.0,66.9,66,30.01,10.0,SE,11.5,-,N/A,,Overcast,140,2014-05-23 17:51:00
1:51 PM,79.0,68.0,69,30.00,10.0,SE,11.5,-,0.00,,Overcast,140,2014-05-23 18:51:00
2:51 PM,79.0,69.1,72,29.98,10.0,ESE,10.4,-,0.00,,Mostly Cloudy,120,2014-05-23 19:51:00
3:51 PM,82.9,69.1,63,29.96,10.0,SE,11.5,-,N/A,,Overcast,140,2014-05-23 20:51:00
4:51 PM,82.0,68.0,62,29.93,10.0,ESE,8.1,17.3,N/A,,Mostly Cloudy,110,2014-05-23 21:51:00
5:51 PM,82.9,68.0,60,29.92,10.0,ESE,10.4,-,N/A,,Mostly Cloudy,120,2014-05-23 22:51:00
6:51 PM,82.9,63.0,51,29.91,10.0,SE,13.8,-,N/A,,Overcast,140,2014-05-23 23:51:00
7:51 PM,81.0,63.0,54,29.92,10.0,SE,15.0,-,N/A,,Scattered Clouds,140,2014-05-24 00:51:00
8:51 PM,78.8,64.4,61,29.98,10.0,SE,11.5,-,N/A,,Partly Cloudy,130,2014-05-24 01:51:00
9:51 PM,77.0,66.2,69,30.00,10.0,SE,17.3,-,N/A,,Clear,140,2014-05-24 02:51:00
10:47 PM,75.2,66.2,73,30.03,10.0,SE,13.8,-,N/A,,Mostly Cloudy,130,2014-05-24 03:47:00
10:51 PM,75.0,66.9,76,29.98,10.0,SE,15.0,-,N/A,,Mostly Cloudy,140,2014-05-24 03:51:00
11:51 PM,73.9,68.0,82,30.00,10.0,SE,11.5,-,N/A,,Mostly Cloudy,130,2014-05-24 04:51:00
