TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:53 AM,77.0,71.1,82,30.04,10.0,SSE,5.8,-,N/A,,Mostly Cloudy,160,2015-09-01 05:53:00
1:53 AM,77.0,71.1,82,30.04,10.0,ESE,3.5,-,N/A,,Mostly Cloudy,120,2015-09-01 06:53:00
2:53 AM,78.1,71.1,79,30.02,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-09-01 07:53:00
3:53 AM,75.9,71.1,85,30.00,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-09-01 08:53:00
4:53 AM,75.9,71.1,85,29.99,10.0,East,3.5,-,N/A,,Scattered Clouds,100,2015-09-01 09:53:00
5:53 AM,75.0,70.0,84,29.99,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-09-01 10:53:00
6:53 AM,75.9,70.0,82,30.02,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-09-01 11:53:00
7:53 AM,77.0,72.0,84,30.03,10.0,East,3.5,-,N/A,,Mostly Cloudy,90,2015-09-01 12:53:00
8:17 AM,77.0,73.4,89,30.03,10.0,East,3.5,-,0.00,,Mostly Cloudy,90,2015-09-01 13:17:00
8:20 AM,77.0,73.4,89,30.03,10.0,East,3.5,-,0.00,,Overcast,90,2015-09-01 13:20:00
8:53 AM,77.0,73.0,88,30.05,10.0,Calm,Calm,-,0.00,,Overcast,0,2015-09-01 13:53:00
9:12 AM,77.0,71.6,83,30.04,10.0,ESE,8.1,-,N/A,,Mostly Cloudy,110,2015-09-01 14:12:00
9:53 AM,75.0,69.1,82,30.05,10.0,Calm,Calm,-,0.00,,Overcast,0,2015-09-01 14:53:00
10:53 AM,73.0,70.0,90,30.10,10.0,SSW,8.1,-,0.00,Rain,Light Rain,200,2015-09-01 15:53:00
11:53 AM,73.0,71.1,93,30.10,6.0,SSW,10.4,-,0.09,Rain,Heavy Rain,200,2015-09-01 16:53:00
12:08 PM,73.4,69.8,88,30.08,5.0,South,9.2,-,0.08,Rain-Thunderstorm,Heavy Thunderstorms and Rain,180,2015-09-01 17:08:00
12:40 PM,73.4,69.8,88,30.07,10.0,East,3.5,-,0.13,Rain,Light Rain,90,2015-09-01 17:40:00
12:53 PM,73.0,70.0,90,30.07,10.0,East,5.8,-,0.14,Rain,Light Rain,90,2015-09-01 17:53:00
1:53 PM,77.0,71.1,82,30.06,10.0,ESE,3.5,-,0.00,,Overcast,110,2015-09-01 18:53:00
2:53 PM,79.0,72.0,79,30.05,10.0,East,6.9,-,N/A,Rain,Light Rain,90,2015-09-01 19:53:00
3:53 PM,78.1,72.0,81,30.04,10.0,East,6.9,-,0.00,Rain,Light Rain,80,2015-09-01 20:53:00
4:30 PM,78.8,71.6,78,30.03,10.0,NE,6.9,-,0.00,Rain,Light Rain,40,2015-09-01 21:30:00
4:53 PM,79.0,72.0,79,30.04,10.0,ENE,8.1,-,0.00,Rain,Light Rain,70,2015-09-01 21:53:00
5:53 PM,79.0,73.0,82,30.03,10.0,East,5.8,-,0.00,,Overcast,80,2015-09-01 22:53:00
6:53 PM,79.0,72.0,79,30.02,10.0,East,5.8,-,N/A,,Overcast,90,2015-09-01 23:53:00
7:53 PM,77.0,72.0,84,30.02,10.0,East,4.6,-,N/A,,Mostly Cloudy,80,2015-09-02 00:53:00
8:53 PM,77.0,72.0,84,30.02,10.0,ENE,3.5,-,N/A,,Mostly Cloudy,70,2015-09-02 01:53:00
9:53 PM,77.0,72.0,84,30.04,10.0,ENE,3.5,-,N/A,,Mostly Cloudy,70,2015-09-02 02:53:00
10:53 PM,75.9,72.0,87,30.05,10.0,ENE,3.5,-,N/A,,Mostly Cloudy,70,2015-09-02 03:53:00
11:53 PM,77.0,72.0,84,30.05,10.0,East,4.6,-,N/A,,Mostly Cloudy,90,2015-09-02 04:53:00
