TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,57.0,48.0,72,29.93,10.0,East,3.5,-,N/A,,Clear,80,2015-02-11 06:51:00
1:51 AM,55.0,48.0,77,29.92,10.0,ESE,3.5,-,N/A,,Clear,110,2015-02-11 07:51:00
2:51 AM,54.0,48.0,80,29.92,10.0,Calm,Calm,-,N/A,,Clear,0,2015-02-11 08:51:00
3:51 AM,52.0,46.0,80,29.92,10.0,ESE,3.5,-,N/A,,Clear,110,2015-02-11 09:51:00
4:51 AM,50.0,44.1,80,29.92,10.0,SE,6.9,-,N/A,,Clear,130,2015-02-11 10:51:00
5:51 AM,48.9,45.0,86,29.93,10.0,NW,3.5,-,N/A,,Clear,310,2015-02-11 11:51:00
6:51 AM,48.9,45.0,86,29.95,10.0,Calm,Calm,-,N/A,,Clear,0,2015-02-11 12:51:00
7:51 AM,48.9,45.0,86,29.97,10.0,NW,3.5,-,N/A,,Clear,310,2015-02-11 13:51:00
8:51 AM,55.9,51.1,84,29.98,10.0,Calm,Calm,-,N/A,,Clear,0,2015-02-11 14:51:00
9:51 AM,62.1,51.1,67,30.00,10.0,South,6.9,-,N/A,,Partly Cloudy,170,2015-02-11 15:51:00
10:51 AM,64.9,52.0,63,30.01,10.0,SSE,12.7,-,N/A,,Scattered Clouds,150,2015-02-11 16:51:00
11:51 AM,66.9,52.0,59,30.01,10.0,SSE,15.0,-,N/A,,Scattered Clouds,160,2015-02-11 17:51:00
12:51 PM,70.0,53.1,55,29.99,10.0,SSE,15.0,-,N/A,,Mostly Cloudy,150,2015-02-11 18:51:00
1:51 PM,72.0,52.0,49,29.95,10.0,SE,18.4,23.0,N/A,,Scattered Clouds,140,2015-02-11 19:51:00
2:51 PM,73.9,50.0,43,29.94,10.0,SE,13.8,20.7,N/A,,Partly Cloudy,140,2015-02-11 20:51:00
3:51 PM,75.0,44.1,33,29.96,10.0,SSE,10.4,-,N/A,,Partly Cloudy,150,2015-02-11 21:51:00
4:51 PM,73.9,48.9,41,29.96,10.0,ESE,11.5,-,N/A,,Partly Cloudy,110,2015-02-11 22:51:00
5:51 PM,71.1,48.9,45,29.98,10.0,ESE,9.2,-,N/A,,Partly Cloudy,120,2015-02-11 23:51:00
6:51 PM,66.0,48.9,54,30.01,10.0,East,3.5,-,N/A,,Clear,100,2015-02-12 00:51:00
7:51 PM,66.9,50.0,54,30.06,10.0,NE,4.6,-,N/A,,Partly Cloudy,40,2015-02-12 01:51:00
8:51 PM,64.0,51.1,63,30.09,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-02-12 02:51:00
9:51 PM,59.0,51.1,75,30.11,10.0,ENE,3.5,-,N/A,,Scattered Clouds,60,2015-02-12 03:51:00
10:51 PM,59.0,51.1,75,30.12,10.0,East,3.5,-,N/A,,Scattered Clouds,100,2015-02-12 04:51:00
11:51 PM,59.0,51.1,75,30.14,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-02-12 05:51:00
