TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:53 AM,72.0,48.0,43,30.05,10.0,ESE,6.9,-,N/A,,Partly Cloudy,120,2015-09-13 05:53:00
1:53 AM,71.1,48.0,44,30.04,10.0,ESE,5.8,-,N/A,,Partly Cloudy,120,2015-09-13 06:53:00
2:53 AM,71.1,48.9,45,30.03,10.0,East,4.6,-,N/A,,Partly Cloudy,100,2015-09-13 07:53:00
3:53 AM,69.1,50.0,51,30.02,10.0,East,3.5,-,N/A,,Scattered Clouds,90,2015-09-13 08:53:00
4:53 AM,68.0,48.9,50,30.02,10.0,ESE,5.8,-,N/A,,Scattered Clouds,120,2015-09-13 09:53:00
5:53 AM,66.0,48.9,54,30.02,10.0,SE,6.9,-,N/A,,Partly Cloudy,140,2015-09-13 10:53:00
6:53 AM,66.0,48.9,54,30.04,10.0,SE,6.9,-,N/A,,Partly Cloudy,130,2015-09-13 11:53:00
7:53 AM,66.9,50.0,54,30.05,10.0,East,6.9,-,N/A,,Mostly Cloudy,100,2015-09-13 12:53:00
8:53 AM,71.1,51.1,49,30.06,10.0,ESE,5.8,-,N/A,,Scattered Clouds,110,2015-09-13 13:53:00
9:53 AM,75.9,51.1,42,30.06,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-09-13 14:53:00
10:53 AM,80.1,48.9,34,30.06,10.0,SE,9.2,-,N/A,,Scattered Clouds,140,2015-09-13 15:53:00
11:53 AM,84.0,52.0,33,30.04,10.0,SE,8.1,-,N/A,,Scattered Clouds,140,2015-09-13 16:53:00
12:53 PM,88.0,48.9,26,30.02,10.0,South,13.8,-,N/A,,Partly Cloudy,180,2015-09-13 17:53:00
1:53 PM,89.1,48.9,25,29.99,10.0,SSE,11.5,-,N/A,,Partly Cloudy,160,2015-09-13 18:53:00
2:53 PM,90.0,48.0,24,29.97,10.0,South,13.8,21.9,N/A,,Partly Cloudy,180,2015-09-13 19:53:00
3:53 PM,91.0,46.0,21,29.94,10.0,South,12.7,21.9,N/A,,Partly Cloudy,170,2015-09-13 20:53:00
4:53 PM,91.0,46.0,21,29.92,10.0,SSE,17.3,-,N/A,,Partly Cloudy,160,2015-09-13 21:53:00
5:53 PM,90.0,46.0,22,29.91,10.0,South,12.7,-,N/A,,Partly Cloudy,170,2015-09-13 22:53:00
6:53 PM,89.1,45.0,22,29.91,10.0,SSE,16.1,-,N/A,,Partly Cloudy,160,2015-09-13 23:53:00
7:53 PM,84.0,48.9,29,29.91,10.0,SE,16.1,-,N/A,,Partly Cloudy,140,2015-09-14 00:53:00
8:53 PM,82.9,50.0,32,29.92,10.0,SE,18.4,-,N/A,,Partly Cloudy,140,2015-09-14 01:53:00
9:23 PM,82.9,50.0,32,29.96,10.0,SSE,16.1,23.0,N/A,,Partly Cloudy,150,2015-09-14 02:23:00
9:24 PM,82.9,51.1,33,29.96,10.0,SSE,13.8,-,N/A,,Partly Cloudy,160,2015-09-14 02:24:00
9:53 PM,81.0,51.1,35,29.96,10.0,SSE,18.4,25.3,N/A,,Partly Cloudy,150,2015-09-14 02:53:00
10:53 PM,80.1,51.1,36,29.96,10.0,SSE,18.4,-,N/A,,Clear,160,2015-09-14 03:53:00
11:53 PM,79.0,51.1,38,29.97,10.0,SSE,16.1,24.2,N/A,,Partly Cloudy,150,2015-09-14 04:53:00
