OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
08/30/2014,01:00,10961.11,1542.77,1988.31,895.81,13056.71,3177.36,6783.45,1276.64,39682.15,N
08/30/2014,02:00,10496.38,1458.89,1937.92,878.78,12237.99,3038.11,6378.78,1196.31,37623.15,N
08/30/2014,03:00,10199.91,1382.45,1902.65,857.94,11600.25,2931.38,6053.50,1160.67,36088.75,N
08/30/2014,04:00,9960.48,1351.31,1871.20,864.92,11155.79,2848.56,5869.16,1113.99,35035.40,N
08/30/2014,05:00,9827.15,1324.47,1849.82,856.70,10941.63,2788.63,5707.82,1080.87,34377.09,N
08/30/2014,06:00,9863.39,1357.13,1840.55,857.61,10922.17,2779.08,5706.41,1066.99,34393.33,N
08/30/2014,07:00,10020.95,1411.23,1845.64,869.76,11153.57,2822.23,5827.76,1098.28,35049.42,N
08/30/2014,08:00,10106.12,1425.89,1842.50,871.22,11239.35,2814.83,5873.72,1114.37,35288.01,N
08/30/2014,09:00,10585.00,1500.59,1879.15,932.93,12073.73,2916.22,6287.16,1205.14,37379.92,N
08/30/2014,10:00,11358.49,1602.97,1961.52,1017.03,13190.72,3143.07,6908.19,1330.71,40512.69,N
08/30/2014,11:00,12345.66,1710.04,2061.87,1125.58,14370.85,3381.77,7556.98,1458.60,44011.36,N
08/30/2014,12:00,13226.66,1816.47,2171.36,1192.37,15769.22,3650.74,8218.54,1613.35,47658.71,N
08/30/2014,13:00,13710.80,1923.81,2252.15,1272.21,17119.94,3942.12,8884.66,1715.42,50821.11,N
08/30/2014,14:00,14004.92,2017.60,2315.17,1335.52,18181.13,4143.48,9465.87,1794.91,53258.60,N
08/30/2014,15:00,14330.06,2107.33,2358.46,1380.35,18973.76,4264.20,9855.91,1851.79,55121.86,N
08/30/2014,16:00,14460.31,2175.68,2394.26,1401.68,19466.79,4339.70,10072.46,1890.73,56201.62,N
08/30/2014,17:00,14371.44,2222.37,2411.56,1416.57,19780.60,4354.77,10201.82,1914.17,56673.30,N
08/30/2014,18:00,14158.65,2219.02,2406.82,1410.22,19753.39,4283.90,10195.71,1901.81,56329.52,N
08/30/2014,19:00,13725.90,2176.82,2385.13,1374.62,19205.34,4115.93,10058.75,1834.18,54876.67,N
08/30/2014,20:00,13382.05,2070.33,2323.30,1313.39,18293.50,3957.02,9621.98,1744.06,52705.63,N
08/30/2014,21:00,13423.01,2002.93,2280.15,1240.97,17709.38,3943.68,9393.72,1671.80,51665.63,N
08/30/2014,22:00,12982.81,1951.88,2242.77,1145.89,16733.29,3812.44,8976.36,1572.27,49417.71,N
08/30/2014,23:00,12363.06,1794.60,2160.08,1088.10,15517.32,3618.06,8359.90,1461.75,46362.85,N
08/30/2014,24:00,11658.87,1721.03,2095.54,994.83,14295.79,3397.89,7728.80,1348.46,43241.21,N
