OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
09/19/2015,01:00,10596.55,1463.69,2093.06,845.47,13134.16,3236.72,6821.44,1507.25,39698.34,N
09/19/2015,02:00,9961.10,1326.86,2047.34,839.37,12180.98,3043.11,6357.52,1375.40,37131.69,N
09/19/2015,03:00,9487.63,1263.92,2025.80,870.43,11515.72,2906.13,6047.06,1250.11,35366.80,N
09/19/2015,04:00,9156.30,1210.27,2012.63,821.74,11093.73,2797.52,5827.50,1246.61,34166.30,N
09/19/2015,05:00,8962.52,1183.03,1992.56,721.28,10904.89,2729.31,5691.08,1293.88,33478.55,N
09/19/2015,06:00,8974.10,1180.35,1986.43,726.55,11049.09,2724.14,5683.00,1260.99,33584.64,N
09/19/2015,07:00,9150.10,1206.47,1990.60,831.68,11416.99,2775.70,5817.85,1193.53,34382.92,N
09/19/2015,08:00,9221.18,1213.67,1993.37,810.52,11694.38,2800.64,5918.83,1235.69,34888.27,N
09/19/2015,09:00,9903.61,1324.17,2004.35,842.86,12286.12,3008.50,6260.85,1253.17,36883.62,N
09/19/2015,10:00,10985.98,1522.96,2033.88,878.33,13131.54,3372.00,6789.38,1318.65,40032.72,N
09/19/2015,11:00,12070.52,1693.41,2067.70,882.26,14019.86,3734.35,7449.80,1392.72,43310.61,N
09/19/2015,12:00,13073.00,1841.84,2094.29,894.42,14695.03,4040.91,8028.62,1464.00,46132.10,N
09/19/2015,13:00,13987.98,1958.58,2099.76,930.14,14823.57,4264.98,8607.65,1510.77,48183.44,N
09/19/2015,14:00,14688.81,2048.02,2132.54,977.38,14868.13,4416.52,9085.69,1580.74,49797.83,N
09/19/2015,15:00,15164.36,2116.21,2161.56,1044.89,15392.76,4525.19,9413.89,1622.32,51441.18,N
09/19/2015,16:00,15446.71,2185.43,2186.58,1086.24,16067.02,4554.45,9640.52,1661.94,52828.89,N
09/19/2015,17:00,15519.79,2251.28,2189.41,1125.68,16597.85,4493.19,9664.16,1669.91,53511.27,N
09/19/2015,18:00,15299.00,2227.35,2175.51,1129.32,16783.98,4339.90,9529.48,1647.07,53131.60,N
09/19/2015,19:00,14656.69,2136.09,2151.68,1104.78,16344.79,4149.51,9283.94,1573.79,51401.27,N
09/19/2015,20:00,14044.05,2051.24,2100.51,1067.58,15702.32,4027.65,8866.15,1486.87,49346.37,N
09/19/2015,21:00,13606.60,1971.01,2073.01,1055.53,15358.52,4016.62,8534.21,1478.55,48094.05,N
09/19/2015,22:00,12927.66,1889.01,2027.47,989.66,14554.89,3835.25,8029.57,1439.46,45692.98,N
09/19/2015,23:00,12084.50,1752.63,1997.98,950.08,13604.80,3625.72,7456.86,1379.41,42851.99,N
09/19/2015,24:00,11232.47,1624.39,1957.84,893.04,12554.94,3389.46,6842.41,1296.40,39790.95,N
