OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
05/17/2014,01:00,8719.03,1110.17,1796.84,749.93,9398.02,2360.49,4775.20,1077.90,29987.60,N
05/17/2014,02:00,8349.34,1001.54,1755.06,716.77,8695.65,2210.43,4413.00,1024.39,28166.17,N
05/17/2014,03:00,8050.71,965.76,1726.68,687.01,8256.48,2113.35,4193.38,987.50,26980.88,N
05/17/2014,04:00,7898.39,954.92,1700.31,678.64,7961.41,2057.03,4057.32,951.50,26259.53,N
05/17/2014,05:00,7873.91,959.00,1689.11,685.16,7786.04,2033.68,3993.60,1003.84,26024.33,N
05/17/2014,06:00,8023.21,987.79,1678.43,694.04,7796.92,2070.32,4063.46,1027.51,26341.68,N
05/17/2014,07:00,8149.31,1004.64,1679.84,721.32,8073.56,2115.53,4190.00,1026.40,26960.61,N
05/17/2014,08:00,8327.18,1045.08,1692.29,734.07,8427.98,2171.20,4335.53,1041.48,27774.82,N
05/17/2014,09:00,8942.35,1119.73,1723.33,755.99,9093.09,2359.76,4691.38,1057.11,29742.74,N
05/17/2014,10:00,9562.34,1175.42,1768.55,783.09,9786.48,2588.87,5043.45,1040.04,31748.22,N
05/17/2014,11:00,10150.44,1226.24,1802.72,819.53,10401.78,2812.03,5304.73,1086.24,33603.70,N
05/17/2014,12:00,10575.83,1297.23,1832.13,828.17,10915.51,2988.12,5590.20,1141.97,35169.14,N
05/17/2014,13:00,11037.51,1354.29,1861.27,844.36,11400.35,3140.71,5884.41,1194.92,36717.82,N
05/17/2014,14:00,11499.17,1425.64,1899.49,858.83,11763.87,3329.07,6152.74,1243.36,38172.19,N
05/17/2014,15:00,11848.98,1469.66,1960.97,883.84,12094.29,3489.71,6468.60,1293.03,39509.09,N
05/17/2014,16:00,12088.73,1517.07,2018.11,915.88,12464.31,3587.35,6777.45,1340.86,40709.76,N
05/17/2014,17:00,12183.23,1571.17,2055.38,926.45,12796.57,3622.57,6998.26,1390.69,41544.31,N
05/17/2014,18:00,12056.64,1583.32,2064.98,939.97,13099.31,3540.91,7113.67,1414.48,41813.27,N
05/17/2014,19:00,11593.30,1555.72,2057.27,919.91,12998.36,3378.38,7015.54,1425.19,40943.66,N
05/17/2014,20:00,11074.53,1492.26,2036.77,889.43,12585.34,3195.29,6725.63,1371.78,39371.02,N
05/17/2014,21:00,11061.26,1491.70,2000.73,880.84,12380.40,3109.80,6530.23,1300.10,38755.06,N
05/17/2014,22:00,10888.52,1450.01,1968.34,885.47,12170.29,3045.10,6362.54,1266.42,38036.69,N
05/17/2014,23:00,10358.00,1364.89,1902.96,826.97,11420.75,2866.11,5911.99,1191.31,35843.00,N
05/17/2014,24:00,9695.75,1214.99,1836.88,789.62,10443.88,2660.36,5369.45,1087.35,33098.29,N
