OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
04/02/2015,01:00,8659.45,1174.19,1873.05,705.28,9299.45,2421.30,4989.57,1154.46,30276.75,N
04/02/2015,02:00,8346.69,1131.39,1842.15,673.46,8756.52,2279.87,4665.13,1103.67,28798.88,N
04/02/2015,03:00,8157.21,1087.46,1825.63,649.73,8443.03,2194.26,4469.25,1079.11,27905.68,N
04/02/2015,04:00,8090.51,1074.87,1810.04,653.45,8334.57,2139.72,4407.69,1067.62,27578.45,N
04/02/2015,05:00,8239.79,1101.83,1811.08,649.19,8462.35,2206.25,4448.87,1048.25,27967.61,N
04/02/2015,06:00,8805.69,1159.90,1831.86,672.06,9186.57,2292.15,4733.22,1065.48,29746.92,N
04/02/2015,07:00,9759.02,1319.96,1893.30,756.99,10452.86,2624.08,5470.46,1147.54,33424.20,N
04/02/2015,08:00,10067.89,1388.10,1946.36,825.32,11211.50,2764.82,5822.42,1147.50,35173.90,N
04/02/2015,09:00,10122.63,1402.48,1941.31,811.84,11228.53,2725.67,5771.87,1096.52,35100.85,N
04/02/2015,10:00,10415.69,1429.47,1953.64,845.87,11539.61,2853.22,5849.14,1102.81,35989.46,N
04/02/2015,11:00,10783.67,1450.65,2000.48,877.19,11912.71,2980.06,5956.21,1148.01,37108.98,N
04/02/2015,12:00,11059.72,1492.34,2040.26,887.09,12376.33,3130.49,5987.71,1175.72,38149.67,N
04/02/2015,13:00,11388.31,1533.73,2068.40,922.47,12804.97,3288.08,6046.61,1197.72,39250.28,N
04/02/2015,14:00,11862.36,1570.88,2121.72,939.32,13371.10,3467.75,6246.22,1260.35,40839.70,N
04/02/2015,15:00,12221.58,1602.69,2162.81,988.05,13852.75,3613.21,6492.25,1350.81,42284.17,N
04/02/2015,16:00,12424.45,1627.65,2200.10,1019.37,14373.90,3720.49,6796.22,1428.31,43590.51,N
04/02/2015,17:00,12562.31,1656.53,2216.75,1022.84,14813.06,3799.77,7047.97,1496.47,44615.70,N
04/02/2015,18:00,12500.11,1660.18,2210.69,1001.51,14948.39,3774.30,7185.23,1560.14,44840.55,N
04/02/2015,19:00,12023.40,1638.63,2189.54,1019.62,14530.22,3632.37,7183.69,1482.45,43699.92,N
04/02/2015,20:00,11652.44,1542.89,2149.43,1016.91,14007.42,3455.65,6991.19,1367.78,42183.71,N
04/02/2015,21:00,11759.14,1567.52,2132.68,977.83,14110.43,3469.68,7079.84,1417.56,42514.67,N
04/02/2015,22:00,11367.97,1516.85,2111.67,905.47,13737.06,3335.94,6857.27,1454.98,41287.21,N
04/02/2015,23:00,10752.57,1397.66,2035.40,846.74,12691.21,3099.99,6348.42,1405.50,38577.49,N
04/02/2015,24:00,9996.49,1276.34,1977.85,764.01,11358.24,2826.81,5677.43,1323.63,35200.80,N
