OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
03/22/2014,01:00,8232.94,971.98,1700.24,703.22,8503.65,2239.86,4491.57,929.05,27772.50,N
03/22/2014,02:00,7915.70,983.95,1681.12,683.80,8010.80,2088.58,4217.00,869.82,26450.77,N
03/22/2014,03:00,7702.04,976.98,1661.14,667.09,7638.45,2000.63,4058.71,851.51,25556.54,N
03/22/2014,04:00,7542.69,960.57,1652.60,664.02,7503.83,1952.51,3965.20,840.74,25082.16,N
03/22/2014,05:00,7525.21,957.55,1656.04,666.49,7488.58,1935.11,3941.90,848.60,25019.49,N
03/22/2014,06:00,7725.80,966.24,1672.94,680.84,7688.36,1970.77,4036.61,866.46,25608.02,N
03/22/2014,07:00,8077.35,1055.77,1702.41,710.22,8124.40,2071.07,4298.76,903.67,26943.64,N
03/22/2014,08:00,8369.40,1106.36,1728.00,740.58,8656.00,2174.99,4562.45,948.34,28286.12,N
03/22/2014,09:00,8578.07,1131.87,1753.21,773.94,9098.55,2266.49,4781.22,987.60,29370.95,N
03/22/2014,10:00,8963.75,1179.52,1787.88,820.24,9626.19,2413.99,5028.92,1027.90,30848.39,N
03/22/2014,11:00,9328.50,1226.65,1801.85,836.44,9975.33,2535.69,5252.72,1069.17,32026.34,N
03/22/2014,12:00,9591.29,1260.78,1794.82,842.02,10108.59,2640.55,5358.17,1064.52,32660.73,N
03/22/2014,13:00,9781.73,1291.55,1785.34,829.55,10066.28,2727.88,5401.06,1018.63,32902.03,N
03/22/2014,14:00,9970.55,1296.81,1768.38,810.87,9903.34,2814.87,5408.98,1009.71,32983.51,N
03/22/2014,15:00,10155.05,1292.26,1769.77,796.43,9754.77,2877.58,5424.33,1005.19,33075.39,N
03/22/2014,16:00,10302.24,1284.52,1771.94,790.14,9678.85,2927.89,5457.84,1005.97,33219.39,N
03/22/2014,17:00,10403.96,1311.18,1765.05,791.84,9640.53,2950.09,5489.77,1007.75,33360.16,N
03/22/2014,18:00,10322.60,1329.44,1756.49,806.07,9686.78,2936.59,5548.46,1011.49,33397.93,N
03/22/2014,19:00,10071.01,1317.64,1756.71,813.68,9757.17,2870.01,5547.69,990.56,33124.46,N
03/22/2014,20:00,10116.25,1351.03,1758.13,832.09,10101.16,2853.97,5632.85,986.76,33632.23,N
03/22/2014,21:00,10241.56,1358.27,1782.08,856.61,10376.55,2938.16,5808.46,1022.71,34384.40,N
03/22/2014,22:00,9994.48,1309.58,1782.39,840.24,10155.13,2874.80,5660.64,995.94,33613.21,N
03/22/2014,23:00,9588.94,1228.76,1749.03,796.52,9666.12,2739.46,5328.46,971.11,32068.41,N
03/22/2014,24:00,9092.48,1121.63,1710.24,777.25,9061.97,2563.36,4915.81,927.07,30169.81,N
