OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
05/07/2014,01:00,9250.02,1268.53,1846.72,869.66,10622.56,2728.49,5418.19,1216.95,33221.11,N
05/07/2014,02:00,8790.75,1171.90,1804.37,823.59,9897.78,2587.76,5082.28,1132.51,31290.94,N
05/07/2014,03:00,8491.82,1080.85,1776.27,800.34,9375.45,2489.45,4874.25,1095.82,29984.26,N
05/07/2014,04:00,8390.12,1064.55,1754.96,780.71,9163.10,2432.61,4730.07,1074.56,29390.67,N
05/07/2014,05:00,8530.01,1073.59,1739.13,777.62,9177.81,2420.02,4748.52,1074.41,29541.13,N
05/07/2014,06:00,9019.79,1127.87,1759.76,799.37,9824.91,2527.65,5069.02,1165.66,31294.02,N
05/07/2014,07:00,9666.14,1274.94,1815.99,865.63,10979.06,2836.54,5720.92,1223.85,34383.07,N
05/07/2014,08:00,9905.95,1323.82,1849.12,889.98,11429.59,2920.51,5954.31,1176.89,35450.16,N
05/07/2014,09:00,10288.10,1348.23,1895.30,910.77,11738.66,2940.33,6006.11,1203.93,36331.43,N
05/07/2014,10:00,10814.80,1411.72,1941.69,955.90,12151.87,3065.00,6123.32,1255.15,37719.44,N
05/07/2014,11:00,11381.13,1474.03,1990.13,993.83,12602.16,3219.22,6232.76,1305.39,39198.65,N
05/07/2014,12:00,11811.87,1492.13,2055.12,1038.06,13023.68,3359.56,6378.63,1381.69,40540.75,N
05/07/2014,13:00,12240.13,1551.55,2112.67,1065.08,13344.36,3500.76,6638.43,1455.72,41908.69,N
05/07/2014,14:00,12723.70,1621.65,2144.59,1095.67,13937.28,3647.44,7033.96,1526.08,43730.37,N
05/07/2014,15:00,12916.00,1656.39,2192.98,1130.99,14245.76,3725.24,7476.96,1587.64,44931.96,N
05/07/2014,16:00,12990.04,1685.77,2214.07,1148.83,14665.42,3773.73,7881.87,1657.84,46017.56,N
05/07/2014,17:00,13168.35,1733.80,2263.36,1152.60,14856.04,3768.11,8165.16,1710.62,46818.04,N
05/07/2014,18:00,13243.59,1753.88,2245.36,1124.94,14962.65,3716.98,8233.41,1700.68,46981.48,N
05/07/2014,19:00,12860.71,1722.34,2159.61,1092.73,15020.36,3635.93,8037.68,1663.62,46192.98,N
05/07/2014,20:00,12631.93,1661.74,2097.20,1056.62,14566.29,3554.45,7783.42,1552.62,44904.27,N
05/07/2014,21:00,12892.68,1685.73,2035.09,1058.71,14487.75,3642.54,7697.32,1569.81,45069.63,N
05/07/2014,22:00,12550.08,1634.44,2013.11,1029.30,14201.80,3594.45,7457.77,1521.51,44002.45,N
05/07/2014,23:00,11847.19,1504.30,1929.81,962.34,13047.21,3346.62,6865.47,1400.67,40903.61,N
05/07/2014,24:00,11021.53,1357.03,1846.06,878.95,11628.89,3045.82,6167.57,1265.08,37210.93,N
