OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
01/29/2014,01:00,11229.70,1911.78,1966.13,1200.07,15820.24,4263.94,7842.04,1570.36,45804.27,N
01/29/2014,02:00,11172.77,1917.53,1953.65,1210.79,15858.66,4201.72,7816.00,1598.03,45729.15,N
01/29/2014,03:00,11210.14,1954.82,1961.38,1227.82,16037.17,4213.06,7873.95,1625.04,46103.39,N
01/29/2014,04:00,11287.47,1981.24,1968.35,1247.04,16326.98,4235.21,8021.18,1658.92,46726.41,N
01/29/2014,05:00,11568.99,2051.65,1981.93,1280.17,16915.71,4290.41,8268.01,1706.14,48063.01,N
01/29/2014,06:00,12274.09,2176.39,2038.27,1354.93,18051.45,4466.76,8840.02,1790.97,50992.88,N
01/29/2014,07:00,13202.59,2402.20,2118.23,1467.16,19709.30,4809.39,9628.13,1919.09,55256.09,N
01/29/2014,08:00,13370.31,2435.37,2158.34,1471.24,20191.52,4976.30,9780.64,1965.91,56349.63,N
01/29/2014,09:00,13168.42,2333.22,2074.74,1407.55,19345.24,4934.18,9387.00,1885.20,54535.55,N
01/29/2014,10:00,12963.96,2234.84,2008.26,1322.66,18140.25,4852.52,8850.17,1739.89,52112.55,N
01/29/2014,11:00,12661.21,2128.44,1973.23,1245.66,16867.49,4712.75,8172.45,1621.79,49383.03,N
01/29/2014,12:00,12416.09,1998.81,1943.22,1170.93,15708.96,4512.30,7592.22,1529.31,46871.85,N
01/29/2014,13:00,12070.32,1873.31,1891.78,1116.10,14689.45,4287.41,7105.20,1441.76,44475.33,N
01/29/2014,14:00,11681.83,1776.93,1853.80,1077.10,13908.08,4069.72,6730.02,1383.13,42480.61,N
01/29/2014,15:00,11232.38,1661.46,1829.86,1040.46,13299.09,3926.61,6426.35,1335.27,40751.48,N
01/29/2014,16:00,10932.56,1628.04,1813.15,1018.93,13071.82,3865.15,6280.74,1315.54,39925.93,N
01/29/2014,17:00,10898.60,1654.67,1816.93,1031.67,13318.70,3899.32,6384.99,1345.96,40350.84,N
01/29/2014,18:00,11337.56,1778.22,1843.33,1081.73,14191.04,4013.61,6839.06,1389.66,42474.22,N
01/29/2014,19:00,12466.87,1955.47,1929.99,1182.66,15750.01,4353.70,7782.76,1536.74,46958.19,N
01/29/2014,20:00,12854.53,2010.68,2004.58,1207.21,16229.36,4538.12,8247.04,1631.75,48723.27,N
01/29/2014,21:00,12876.22,2106.56,2023.74,1217.56,16366.49,4570.63,8428.11,1659.27,49248.58,N
01/29/2014,22:00,12616.96,2041.07,2010.49,1189.34,16078.13,4461.06,8291.80,1633.49,48322.33,N
01/29/2014,23:00,12108.61,1963.37,1967.06,1147.46,15279.24,4194.84,7975.89,1553.69,46190.15,N
01/29/2014,24:00,11645.86,1869.65,1925.72,1105.43,14574.13,3887.46,7603.71,1523.97,44135.93,N
