OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
05/07/2015,01:00,10111.53,1225.83,1918.86,722.95,10599.46,2671.27,5435.28,1128.25,33813.42,N
05/07/2015,02:00,9666.48,1160.14,1873.88,678.17,9984.02,2531.97,5087.72,1131.55,32113.92,N
05/07/2015,03:00,9409.79,1116.56,1852.36,662.15,9571.53,2469.51,4909.84,1106.00,31097.74,N
05/07/2015,04:00,9285.41,1095.20,1845.20,645.68,9351.86,2428.24,4795.90,1096.00,30543.48,N
05/07/2015,05:00,9409.57,1101.27,1847.51,642.83,9351.65,2420.66,4839.18,1100.47,30713.15,N
05/07/2015,06:00,9975.75,1158.75,1870.98,688.84,9759.78,2525.70,5185.87,1083.20,32248.88,N
05/07/2015,07:00,10843.09,1319.84,1927.68,773.93,10841.82,2852.55,5892.54,1130.63,35582.08,N
05/07/2015,08:00,11070.89,1362.78,1955.46,784.16,11290.35,2976.25,6122.21,1167.39,36729.48,N
05/07/2015,09:00,11362.06,1395.74,1973.82,785.17,11489.15,2962.59,6184.43,1190.28,37343.24,N
05/07/2015,10:00,11998.65,1467.70,2011.95,774.43,11728.40,3080.55,6370.64,1232.83,38665.14,N
05/07/2015,11:00,12634.64,1569.09,2049.33,784.78,12063.79,3194.41,6595.23,1293.55,40184.82,N
05/07/2015,12:00,13125.84,1668.27,2102.11,810.45,12484.46,3306.43,6819.92,1355.20,41672.68,N
05/07/2015,13:00,13393.03,1704.24,2135.77,839.91,12914.80,3443.69,7044.90,1396.01,42872.34,N
05/07/2015,14:00,13665.48,1736.35,2190.65,898.07,13405.75,3583.15,7223.42,1412.50,44115.37,N
05/07/2015,15:00,13915.33,1821.31,2239.29,965.56,13867.25,3693.64,7361.63,1426.96,45290.98,N
05/07/2015,16:00,14017.77,1842.52,2285.83,1079.67,14283.12,3812.43,7482.46,1374.46,46178.27,N
05/07/2015,17:00,13875.45,1842.73,2303.86,1102.52,14576.25,3954.88,7588.55,1332.08,46576.32,N
05/07/2015,18:00,13554.13,1824.30,2315.62,970.52,14484.26,3968.04,7596.08,1481.21,46194.17,N
05/07/2015,19:00,13052.43,1792.62,2283.69,942.12,14182.09,3869.67,7489.49,1447.57,45059.68,N
05/07/2015,20:00,12837.45,1737.23,2268.58,938.35,13940.11,3755.79,7361.79,1318.75,44158.05,N
05/07/2015,21:00,13091.98,1759.89,2213.09,928.13,14089.43,3787.34,7461.93,1284.43,44616.22,N
05/07/2015,22:00,12838.51,1712.51,2164.62,895.91,13741.09,3771.03,7292.96,1258.90,43675.53,N
05/07/2015,23:00,12097.00,1577.67,2074.45,797.77,12272.68,3528.13,6749.42,1236.46,40333.57,N
05/07/2015,24:00,11266.96,1434.21,1979.51,711.69,10618.85,3168.77,6107.86,1180.54,36468.38,N
