OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
11/17/2014,01:00,9082.14,1554.57,2149.61,1658.39,14308.58,2484.86,6658.21,1230.09,39126.44,N
11/17/2014,02:00,9065.75,1568.42,2144.78,1597.19,14225.22,2475.73,6680.13,1263.30,39020.53,N
11/17/2014,03:00,9178.06,1592.44,2138.71,1585.09,14326.82,2492.42,6775.47,1297.15,39386.15,N
11/17/2014,04:00,9401.70,1629.66,2137.64,1597.25,14553.13,2631.02,6955.33,1353.00,40258.74,N
11/17/2014,05:00,9873.10,1698.46,2143.94,1639.10,15141.53,2785.22,7284.14,1421.13,41986.63,N
11/17/2014,06:00,10793.15,1829.90,2195.40,1753.33,16181.30,3122.01,7969.58,1511.00,45355.68,N
11/17/2014,07:00,11829.10,2064.88,2264.30,1815.36,17772.85,3720.89,8811.63,1652.93,49931.93,N
11/17/2014,08:00,12027.46,2086.90,2291.12,1823.03,17995.41,3927.08,8867.13,1658.90,50677.04,N
11/17/2014,09:00,12040.07,2050.27,2228.74,1853.09,17189.35,3874.61,8376.32,1552.37,49164.83,N
11/17/2014,10:00,11983.10,1953.20,2185.34,1854.50,16399.49,3852.29,7954.28,1453.90,47636.10,N
11/17/2014,11:00,11839.51,1852.37,2133.60,1827.70,15594.59,3767.00,7518.95,1381.06,45914.77,N
11/17/2014,12:00,11588.95,1840.14,2109.67,1819.21,14817.18,3582.27,7091.41,1272.19,44121.03,N
11/17/2014,13:00,11290.46,1760.05,2079.22,1763.25,14168.90,3399.71,6789.93,1169.63,42421.13,N
11/17/2014,14:00,11064.35,1690.24,2051.50,1737.39,13681.83,3213.49,6516.79,1085.86,41041.43,N
11/17/2014,15:00,10804.93,1652.58,2031.60,1721.21,13213.68,3045.98,6265.61,1029.58,39765.17,N
11/17/2014,16:00,10683.01,1621.14,2014.04,1741.06,13042.30,2961.53,6198.18,979.47,39240.73,N
11/17/2014,17:00,10818.85,1674.66,2027.37,1734.16,13443.77,2989.02,6360.86,1019.32,40068.01,N
11/17/2014,18:00,11470.84,1841.03,2080.61,1806.78,14612.26,3197.19,6945.27,1124.92,43078.91,N
11/17/2014,19:00,12128.66,2002.14,2173.79,1866.11,15789.54,3611.76,7663.38,1255.73,46491.12,N
11/17/2014,20:00,12239.61,2012.78,2199.76,1887.79,16083.41,3779.02,7894.65,1287.85,47384.87,N
11/17/2014,21:00,12199.09,2028.93,2185.79,1849.22,16151.22,3887.07,7984.14,1328.23,47613.70,N
11/17/2014,22:00,11858.15,1967.77,2164.91,1780.21,15795.17,3877.53,7773.30,1329.22,46546.25,N
11/17/2014,23:00,11281.60,1890.96,2089.51,1664.37,14952.02,3733.31,7317.76,1291.87,44221.40,N
11/17/2014,24:00,10762.22,1830.86,2040.29,1546.30,14330.67,3526.50,6842.92,1237.50,42117.26,N
