OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
07/30/2014,01:00,10941.21,1542.19,2112.15,904.03,11326.46,3470.24,7113.89,1248.84,38659.02,N
07/30/2014,02:00,10408.06,1454.65,2052.18,880.82,10645.14,3233.38,6532.65,1181.30,36388.20,N
07/30/2014,03:00,10011.48,1378.69,1985.25,861.60,10214.91,3063.37,6151.90,1128.33,34795.52,N
07/30/2014,04:00,9807.37,1326.33,1961.52,843.67,10007.95,2941.87,5893.81,1115.72,33898.25,N
07/30/2014,05:00,9878.40,1272.07,1961.29,837.85,10114.82,2880.39,5816.25,1102.31,33863.38,N
07/30/2014,06:00,10296.74,1390.09,1978.03,845.08,10713.40,2919.71,5963.46,1110.80,35217.31,N
07/30/2014,07:00,10802.28,1456.55,2016.71,883.42,11641.42,3050.30,6346.43,1147.44,37344.55,N
07/30/2014,08:00,11070.44,1530.48,2027.41,902.86,12141.52,3081.14,6467.37,1184.45,38405.67,N
07/30/2014,09:00,11852.62,1610.63,2057.93,935.64,12505.90,3319.27,6759.01,1217.70,40258.69,N
07/30/2014,10:00,12884.04,1696.04,2128.04,945.82,12972.86,3631.13,7251.79,1289.72,42799.45,N
07/30/2014,11:00,13911.19,1778.39,2185.64,983.50,13506.79,3968.59,7832.42,1439.94,45606.46,N
07/30/2014,12:00,14888.19,1903.48,2281.32,994.04,14128.32,4322.31,8455.27,1542.52,48515.45,N
07/30/2014,13:00,15691.83,2016.99,2345.97,1012.51,14819.40,4634.15,9003.20,1619.66,51143.71,N
07/30/2014,14:00,16358.79,2111.62,2422.35,1043.29,15728.30,4886.62,9520.58,1694.93,53766.46,N
07/30/2014,15:00,16797.28,2163.45,2544.70,1073.56,16303.42,5083.00,9981.38,1756.58,55703.37,N
07/30/2014,16:00,17083.95,2238.99,2608.62,1109.60,16567.44,5217.37,10383.98,1826.59,57036.55,N
07/30/2014,17:00,17080.90,2301.89,2608.66,1145.96,16888.15,5249.86,10682.26,1892.29,57849.96,N
07/30/2014,18:00,16815.98,2252.82,2602.94,1151.15,17425.29,5185.13,10754.44,1904.55,58092.31,N
07/30/2014,19:00,16184.24,2155.66,2495.36,1134.39,17597.85,5010.17,10564.33,1874.90,57016.89,N
07/30/2014,20:00,15548.69,2058.33,2381.50,1112.50,17142.76,4774.47,10139.36,1813.59,54971.19,N
07/30/2014,21:00,15290.04,2061.94,2304.10,1106.50,16716.67,4634.42,9737.02,1720.25,53570.92,N
07/30/2014,22:00,14753.33,1996.33,2256.30,1070.35,16393.66,4544.50,9454.92,1647.99,52117.38,N
07/30/2014,23:00,13841.30,1837.34,2148.97,1021.69,15356.80,4249.57,8730.78,1525.09,48711.55,N
07/30/2014,24:00,12849.05,1690.33,2049.32,936.79,14072.93,3911.80,7878.86,1407.48,44796.56,N
