OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
04/07/2014,01:00,7181.07,1171.91,1641.42,742.49,9008.44,2165.45,4247.72,915.41,27073.90,N
04/07/2014,02:00,6977.88,1133.35,1625.83,726.63,8653.37,2028.67,4067.16,894.04,26106.94,N
04/07/2014,03:00,6868.65,1111.80,1618.83,709.84,8541.91,1956.58,3993.83,896.16,25697.60,N
04/07/2014,04:00,6902.21,1115.84,1638.60,722.82,8552.37,1930.30,4010.97,884.62,25757.72,N
04/07/2014,05:00,7124.22,1166.64,1637.62,740.88,8849.38,1943.97,4147.04,904.07,26513.81,N
04/07/2014,06:00,7696.61,1267.81,1690.29,790.67,9681.81,2065.52,4581.53,967.63,28741.87,N
04/07/2014,07:00,8536.71,1399.15,1763.90,873.93,11177.64,2385.72,5316.30,1058.42,32511.76,N
04/07/2014,08:00,8891.41,1493.99,1833.48,910.74,11799.44,2527.40,5656.21,1100.70,34213.38,N
04/07/2014,09:00,8918.96,1473.30,1806.36,907.34,11506.79,2472.30,5571.17,1079.85,33736.07,N
04/07/2014,10:00,9084.38,1471.35,1794.09,886.77,11365.05,2516.34,5535.12,1067.51,33720.61,N
04/07/2014,11:00,9121.23,1470.89,1791.31,884.20,11325.31,2571.27,5408.04,1075.27,33647.54,N
04/07/2014,12:00,9131.83,1445.95,1784.00,866.04,11191.19,2624.15,5325.32,1066.66,33435.13,N
04/07/2014,13:00,9133.37,1427.30,1774.70,862.93,11067.64,2691.20,5222.87,1041.86,33221.87,N
04/07/2014,14:00,9244.30,1390.97,1768.40,843.95,10875.80,2821.13,5235.45,1048.33,33228.34,N
04/07/2014,15:00,9386.81,1306.60,1788.78,822.89,10634.19,2984.76,5274.62,1055.46,33254.11,N
04/07/2014,16:00,9546.29,1287.78,1785.19,816.43,10446.21,3114.26,5359.00,1053.97,33409.13,N
04/07/2014,17:00,9597.90,1298.96,1789.51,829.42,10394.26,3209.29,5371.53,1050.49,33541.36,N
04/07/2014,18:00,9577.38,1336.46,1774.08,824.65,10406.04,3186.07,5330.99,1060.88,33496.54,N
04/07/2014,19:00,9446.57,1349.27,1754.00,826.19,10444.74,3074.69,5381.40,1059.14,33335.99,N
04/07/2014,20:00,9453.88,1364.52,1748.28,828.09,10722.74,2964.77,5497.21,1073.99,33653.49,N
04/07/2014,21:00,9773.67,1490.15,1779.91,872.30,11170.22,3074.28,5656.88,1096.26,34913.67,N
04/07/2014,22:00,9433.44,1459.74,1769.81,856.44,10794.32,2998.68,5494.44,1080.82,33887.67,N
04/07/2014,23:00,8772.70,1334.19,1727.40,801.94,9930.90,2770.51,5047.30,1014.38,31399.32,N
04/07/2014,24:00,8024.42,1217.41,1673.89,727.19,8982.58,2457.02,4571.96,964.69,28619.15,N
